Size,Bedrooms,People,Electricity,Water,Expense
2687,5,5,460,23.0,18193
2688,6,7,509,29.3,20928
2690,5,6,462,23.7,19386
2691,6,7,487,29.3,21203
2691,5,5,410,23.4,17312
2692,6,6,437,24.6,19875
2692,5,6,388,23.8,18576
2693,5,4,419,17.9,17796
2697,5,7,449,28.3,20938
2698,6,7,493,27.9,20052
2699,6,7,501,29.7,19700
2700,6,7,514,26.3,21049
2701,5,5,420,25.2,19728
2704,6,6,512,25.3,20822
2705,5,6,462,24.7,17623
2707,6,5,414,19.5,17738
2714,6,6,514,27.1,19263
2714,6,6,432,25.5,18373
2717,6,6,512,26.1,20758
2719,6,7,486,30.6,19475
2720,6,5,437,24.3,18225
2720,5,5,372,24.4,17135
2724,6,6,441,28.1,19289
2724,6,6,421,29.4,18813
2731,5,5,425,23.7,18556
2735,5,5,399,24.5,18632
2737,6,6,456,24.8,19461
2739,5,5,452,26.9,19648
2743,5,5,430,23.5,16701
2753,6,8,409,31.0,20288
2755,5,6,512,25.3,20207
2761,5,6,460,28.9,19108
2763,5,6,435,23.6,17587
2764,5,6,491,25.5,19712
2764,6,7,506,30.4,21736
2765,5,4,367,22.1,18542
2765,6,8,543,34.5,21073
2767,5,7,483,29.9,18765
2775,6,8,557,30.8,23121
2775,5,5,438,24.5,19966
2777,6,6,464,26.5,18909
2778,6,7,466,27.5,20831
2778,6,7,480,30.1,20472
2780,6,7,463,26.7,19169
2786,5,5,457,22.5,18183
2791,6,7,529,29.3,21420
2794,6,8,544,31.5,22864
2794,6,6,536,30.7,19754
2796,5,6,447,23.6,19961
2800,6,7,477,26.3,22198
2800,5,6,458,27.5,18668
2801,6,8,554,29.8,22640
2805,6,7,466,24.8,18501
2806,6,6,497,26.8,20503
2811,6,6,521,26.7,19931
2817,5,6,502,26.6,20466
2817,6,6,478,28.2,20121
2824,6,6,498,24.6,20400
2824,5,5,448,26.6,18262
2826,5,5,441,21.5,19129
2827,6,8,558,31.0,22607
2827,5,5,462,28.8,19209
2831,6,6,464,28.4,20695
2836,6,7,432,28.1,21136
2836,6,7,430,26.9,19138
2843,6,7,425,30.2,21325
2843,6,7,458,30.5,20946
2849,5,6,466,25.9,19761
2852,5,7,452,26.7,19763
2860,6,5,510,23.0,19715
2861,6,7,426,27.8,18505
2862,6,7,519,28.7,20749
2863,5,6,465,24.4,19927
2865,6,5,391,27.0,20440
2868,6,6,495,23.5,19791
2871,6,7,475,27.2,19247
2873,6,7,509,28.7,20938
2876,6,6,478,25.2,19537
2885,6,5,419,26.4,18645
2886,6,7,511,32.4,22166
2888,5,5,477,24.6,18893
2891,5,7,466,31.6,20667
2893,6,6,496,28.5,21872
2893,6,5,400,25.0,16434
2894,6,5,521,24.0,21374
2895,6,6,496,25.0,20036
2897,6,7,465,31.1,20897
2897,6,7,456,32.3,20054
2910,6,7,489,28.3,21626
2918,5,5,426,27.3,20653
2927,5,6,427,26.5,18856
2932,6,7,555,28.8,23170
2933,6,6,523,25.2,22294
2934,6,7,514,29.6,20264
2935,5,5,448,23.7,18728
2938,5,5,463,26.3,19797
2943,6,6,497,30.5,20984
2944,6,6,501,26.2,22266
2945,6,6,466,29.6,21495
2948,6,8,469,28.7,21248
2949,6,6,522,26.2,21670
2949,6,6,494,25.9,20449
2950,6,7,462,31.0,21855
2954,5,5,504,22.6,17253
2955,5,5,476,24.2,19131
2967,6,7,499,28.8,20578
2969,6,6,463,24.2,19321
2972,6,6,460,28.6,22255
2979,6,6,492,28.1,20859
2982,6,6,533,24.0,19642
2985,6,7,537,27.0,22471
2989,6,7,507,27.6,18956
2989,6,6,533,30.3,21824
2991,6,7,496,31.5,22644
2992,6,8,558,34.2,22151
2992,6,7,550,28.6,21756
2997,5,5,527,23.9,19926
